section_id,course_id,lecturer_id,student_group_id,room_id,day,start_period,end_period,start_time,end_time,duration_periods,session,room_type
LHP35,JAVA101,GV09,SV_CNTT3,P101,Thứ 2,1,2,07:00,08:40,2,morning,NORMAL
LHP07,ML201,GV02,SV_CNTT2,P103,Thứ 2,1,2,07:00,08:40,2,morning,NORMAL
LHP30,IS101,GV08,SV_ATTT1,P202,Thứ 2,1,2,07:00,08:40,2,morning,NORMAL
LHP19,DM101,GV05,SV_HTTT1,P301,Thứ 2,1,2,07:00,08:40,2,morning,NORMAL
LHP38,SE101,GV10,SV_KHMT2,P302,Thứ 2,1,3,07:00,09:35,3,morning,LAB
LHP57,CLOUD101,GV15,SV_TTNT1,P102,Thứ 2,2,5,07:50,11:25,4,morning,NORMAL
LHP24,DB101,GV06,SV_KTPM1,P103,Thứ 2,3,4,08:45,10:30,2,morning,NORMAL
LHP54,IMG101,GV14,SV_ATTT2,P201,Thứ 2,3,6,08:45,12:15,4,morning,NORMAL
LHP46,DB201,GV12,SV_KTPM2,P302,Thứ 2,4,6,09:40,12:15,3,morning,LAB
LHP60,NLP101,GV15,SV_TTNT1,P101,Thứ 2,7,10,12:30,16:00,4,afternoon,NORMAL
LHP25,NET101,GV07,SV_KTPM1,P102,Thứ 2,7,8,12:30,14:10,2,afternoon,NORMAL
LHP41,CS101,GV11,SV_HTTT2,P302,Thứ 2,8,10,13:20,16:00,3,afternoon,LAB
LHP31,CO101,GV08,SV_CNTT3,P101,Thứ 3,1,2,07:00,08:40,2,morning,NORMAL
LHP51,CO101,GV13,SV_ATTT2,P201,Thứ 3,1,3,07:00,09:35,3,morning,NORMAL
LHP36,OS101,GV09,SV_KHMT2,P202,Thứ 3,2,3,07:50,09:35,2,morning,NORMAL
LHP11,CO101,GV03,SV_KHMT1,P102,Thứ 3,3,4,08:45,10:30,2,morning,NORMAL
LHP49,CG101,GV13,SV_KTPM2,P101,Thứ 3,4,6,09:40,12:15,3,morning,NORMAL
LHP43,AI201,GV11,SV_HTTT2,P302,Thứ 3,4,6,09:40,12:15,3,morning,LAB
LHP23,AI201,GV06,SV_KTPM1,P102,Thứ 3,5,6,10:35,12:15,2,morning,NORMAL
LHP34,IMG101,GV09,SV_CNTT3,P102,Thứ 3,8,9,13:20,15:05,2,afternoon,NORMAL
LHP01,CS101,GV01,SV_CNTT1,P201,Thứ 3,8,9,13:20,15:05,2,afternoon,NORMAL
LHP56,OS101,GV14,SV_TTNT1,P101,Thứ 3,9,12,14:15,17:45,4,afternoon,NORMAL
